sample
YC-4250-BIO73blank
YC-4250-BIO74water
YC-4250-BIO78water
YC-4250-BIO79water
YC-4250-BIO80water
YC-4250-BIO82water
YC-4250-BIO83water
YC-4250-BIO84water
YC-4250-BIO85water
YC-4250-BIO86water
YC-4250-BIO88water
YC-4250-BIO89water
YC-4250-BIO116water
YC-4250-BIO117water
YC-4250-BIO120water
YC-4249-BIO15sed
YC-4249-BIO16sed
YC-4249-BIO17sed
YC-4249-BIO18sed
YC-4249-BIO19sed
YC-4249-BIO20sed
YC-4249-BIO21sed
YC-4249-BIO23sed
YC-4249-BIO25sed
YC-4249-BIO27sed
YC-4249-BIO28sed
YC-4249-BIO1sed
YC-4249-BIO2sed
YC-4249-BIO3sed
YC-4249-BIO4sed
YC-4249-BIO5sed
YC-4249-BIO6sed
YC-4249-BIO7sed
YC-4249-BIO9sed
YC-4249-BIO11sed
YC-4249-BIO13sed
YC-4249-BIO14sed
YC-4249-BIO29sed
YC-4249-BIO30sed
YC-4249-BIO61sed
YC-4249-BIO62sed
YC-4249-BIO63sed
YC-4249-BIO64sed
YC-4249-BIO65sed
YC-4249-BIO67sed
YC-4249-BIO69sed
YC-4249-BIO71sed
YC-4249-BIO72sed
